value,total_count
Cullars crop rotation,30
intertidale zone [ENVO:00000316],30
gingival biome,30
microbial community [PCO:1000004] |derives from [RO:0001000]| soil biocrust [ENVO:01000910],30
carbonate karst [ENVO:00000175],30
Intestinal Chyme,30
human subgingival from AgP patients,30
Intertidal macroalgae,30
beetle,30
deadwood beech log,30
piglet biome,30
plain coast,30
Colorado Plateau,30
piglet colon and ileum,30
Beech_extensively_managed_mature_timber,30
Cell culture media,30
cecum bacteria,30
Nothofagus betuloides forest,30
Black smoker,30
Low pool,30
Cultivatied,30
Erken lake,30
lumen of digestive tract [UBERON:0006909],30
Infected plant material,30
EnvO:00001998,30
Black_Saw,30
Compost microbiota,30
low nitrogen rate,30
cultivated sugarcanes,30
low-fertility,30
Black,30
Not specify,30
drinking water distribution network|premise hot-water system,30
lower respiratory tract biome,30
FOODON:03311737,30
Halophilic bacteria and archaea,30
broad,30
beech log,30
EnvO:00001998|EnvO:01000349,30
exposed with PE microplastic,30
South Sea of Korea,30
Warm Mediterranean,30
virgin microplastic at 300µg/L,30
Water and sediment,30
pomegranate must,30
PO:0025157,30
TCE contained electrolyte,30
Sulfidic freshwater | Sulfidic freshwater sediment,30
surface of rice field biome,30
woodchip field,30
uncontaminated soil,30
scrubland biome,30
rice field biome,30
Reef,30
WholeSlug,30
the Daya Bay,30
potting mix with soil inoculum,30
slurry [ENVO:03600017],30
rocky,30
Subtropical Forest Ecosystem,30
Spruce_age-class_mature_timber,30
Tourism,30
Secondary treated wastewater,30
saline water (ENVO:00002010) including particulate matter (ENVO:01000060) such as planktonic material (ENVO:01000063),30
tertiary stream,30
"Sealed Balch tube, shaken",30
seasonal snow patch,30
Synthetic wastewater with 500 mg/L phenol,30
subsurface brine,30
soil and compost,30
River_mouth,30
Saw,30
subalpine shrubland,30
Rectal sample,30
washing water; control water 3,30
Tip caudal lung,30
Riverine,30
Poplar plantation biome,30
sawdust,30
Pots,30
subgingival dental plaque [UBERON:0016484],30
weathered microplastic at 300µg/L,30
River freshwater,30
Subtropical mountain,30
Seagrass|Taylor Slough 11,30
Seagrass|Taylor Slough 09,30
repovesi,30
soil medium,30
tropical lowland forest,30
UBERON:0002115,30
sequencing control,30
waste management plant,30
post harvesting practice and transportation,30
tundra_lake,30
Smokeless tobacco,30
pomegranate wine,30
Temperate desert,30
Wet flatwoods,30
shallow marine sediment[ENVO:03000034],30
Semi-enclosed marginal seas with its deep basin in the tropical-subtropical Western North Pacific,30
Sole cropping,30
West Africa,30
urban stormwater [ENVO:01001268],30
Plant body:root and shoot,30
polluted environment,30
stool[UBERON:0001988],30
tidal mudflat[ENVO:00000241],30
Rice Root,30
plant_tissue,30
Water quality,30
urban stormwater,30
storm water [ENVO:01001267],30
Sweage,30
Plant parts,30
state forest,30
Qu,30
simulated,30
pond bank,30
Vegetable garden soil,30
Qu microbiome,30
plasitcs,30
Procapra przewalskii,30
Surface sterilized flag leaf,30
potato-processing wastewater,30
volcanic crater,30
restroom,30
urban wasterwater treatment plant,30
rice wine brewing factory,30
terimal ileum biopsy,30
subtidal| medium sandy habitat,30
Wheat_ears,30
ventral-upper-arm,30
Pre-eclampsia,30
upflow anaerobic sludge bed,30
Protected area,30
Rumen Epithelium,30
soybean/maize rotation,30
Rhizoplane of Spartina alterniflora,30
pure culture,30
WYZ,30
Subnival,30
Rabbit Large Intestine Sample,29
Rabbit Small Intestine Content,29
shrew_colon,29
Tapped_1,29
root soil,29
Sea surface water,29
shrew_smallintestine,29
the whole body of Stenotus rubrovittatus,29
Rabbit Small Intestine Sample,29
Rabbit Stomach Content,29
Rabbit Stomach Sample,29
"soil, water and air",29
weathering coal gangue,29
Salmonella infection,29
Salmonella recovered,29
warm season [ENVO:03000097],29
Seagrass|Taylor Slough 10,29
tank substrate,29
thintubeworm,29
sacral region microbiota,29
subpolar biome,29
soil1,29
reactor sediment,29
Suspended biomass,29
woodland/shrubland,29
Sediment sample,29
Whole Hippocampus,29
saine soils,29
Uterine,29
YPD,29
sediment; sludge; water,29
white food,29
subterrestrial habitat,29
small intestinal content,29
Stream [ENVO:00000023],29
single cell,29
Seedlings,29
restaurant,29
Sample mix DNA,29
River mouth,29
Soil stockpile,29
Raised at room temperature and aged 3-5 days.,29
skin epidermis [UBERON:0001003],29
pyloric content,29
wasterwater treatment,29
Rabbit Large Intestine Content,29
Fungi,29
Individual 8,29
pine rockland fragments,29
jellyfish,29
cocoa fermentation metagenome,29
Ceca digesta,29
Ipomoea hederifolia leaves,29
from cecum,29
marine coral reef fore reef,29
25,29
household washing place,29
Marine hydrothermal vent,29
palsa,29
collection kit,29
ENVO:01001257,29
mixed Nothofagus pumilio - Nothofagus antarctica forest,29
experiment,29
phosphate buffer saline (PBS),29
cDNA libraries generated from cells filtered from seawater,29
downstream,29
airways,29
Batter,29
ENVO_01000325,29
extracellular_vesicle_DNA,29
Beza,29
Forest steppe,29
NCIT:C14258,29
Pampa plain - grassland,29
from small intestine,29
mature leaf,29
Biological ex situ methanation reactor,29
ACF site,29
ENVO_01001998,29
Individual 7,29
Kuujjuarapik,29
BALB/c mouse gut,29
Oilfield Produced Water from polymer flooded,29
Nasopharyngeal Aspirate,29
artificial reef,29
marine biome [ENVO:00000447]aquatic biome[ENVO:00002030],29
Ileon,29
ENVO:01000122,29
dust|||painted cement,29
Cecal tip with contents,29
Coral recruits,29
Environmental material [ENVO:00010483],29
country lane,29
ENVO:01000768,29
brackish & fresh water mixed,29
ENVO:forest biome,29
epidermis microbiota,29
missing|||Human-associated habitat,29
Normal diet,29
Health infant,29
Individual 6,29
grass field,29
anaerobic digestate,29
beverage spontaneous metagenome,29
inside building surface,29
infant stool,29
circulating_tumor_cells,29
ENVO:00000002,29
"FOODON_03309927:tomato (whole, raw)",29
Anthropogenic environment [ENVO:01000313],29
from stomach,29
coral reef(ENVO:00000150),29
Fish pond,29
Enterobacteriaceae,29
Anaerobbic Dilution Solution,29
hill side,29
leaf sheath,29
"adult mosquito microbiome from high canopy forest composed of maple, sycamore, pine, oak, and a dense understory of grasses",29
pig lung,29
lake island biome,29
from pylorus,29
Nothofagus antarctica forest,29
Fruit pulp,29
cecum mucosa [UBERON:0000314],29
deep brine pool subseafloor sediment,29
Lohmann layer gut,29
mucosa of vagina [UBERON:0004983],29
fermented vegetable food product,29
Municipal Wastewater Treatment Plant,29
Dry woodland,29
marine abyssal zone biome [ENVO:01000027],29
donor,29
foraminiferal sand,29
Ceca biome,29
broiler cecum,29
aquatic biome [ENVO:00002030]|freshwater biome [ENVO:00000873]|small river biome [ENVO:00000890],29
feces breast fed,29
field_sampling_control,29
Cyanobacterial bloom,29
human CSF,29
pancreatic cancer biome,29
PDA with fluconazole (10 μM),29
"organic substrates e.g,: Acetic acid [OMIT:0019411], Butyric Acid [OMIT:0020072], Propionate [OMIT:0012372]",29
Cattle feedlot,29
Chicken cloacl swab,29
ENVO:01001032,29
Bulk_Soil,29
Gallus gallus oviduct microbiome,29
Mangrove|Taylor Slough 07,29
mucosal biopsy|||mucosal biopsy,29
large intestinal content,29
Coal gangue,29
AQUATIC ECOSYSTEM,29
A monoisolate was prepared overnight from a Luria-Bertani (LB) agar plate into a 5 mL LB liquid,29
Houston Zoo,29
Agricultural temperate cropping zone,29
biological replicate 3,29
mollusc gut,29
1. Initial,29
JiangSu,29
Patient type [Pediatric],28
Mediterranean coastal lagoon,28
estuarine stainless steel,28
fur farm biome,28
pathologic primary tumor stage for colon and rectum according to AJCC 7th edition [OBI: 0002224],28
liquid and solid,28
phage selection,28
domestic sewage treatment systems,28
colonic mucosa [UBERON_0000317],28
Colonic tissue,28
Domestic ferret (Mustela putorius),28
incubation,28
PDO7 cheese,28
Agricultural microbiome,28
negative PCR control,28
colon [UBERON_0001155],28
from large intestine,28
duodenal mucosa [UBERON_0000320],28
Local_scale_samples,28
Breast Normal,28
COMBO Media,28
duodenum [UBERON_0002114],28
"agricultural field, wastewater treatment plant, household",28
5°,28
ENVO_00002173,28
Agricultural fields,28
High altitude localities,28
LB Miller,28
5-1µm particles,28
Experimental,28
mixture of bacteria,28
DWDS_F,28
Mixture of soil and sediment,28
ENVO:2100002|ENVO:01001029,28
16,28
ileum [UBERON_0002116],28
glucose,28
Broiler carcass,28
Host virus coevolution,28
Luminal contents of terminal ileum tissue,28
ileal mucosa [UBERON_0000331],28
naturally processed,28
freshwater metagenome,28
gorilla gut,28
25°,28
BIRCH,28
24 degrees Celsius,28
EBPR bioreactor,28
Main stream,28
Inoculum:Agricultural_field,28
EBPR sludge,28
ILE,28
extrenal zone,28
Idli batter,28
paramo (ENVO:01001360),28
Building envelope [ENVO_01000470],28
23,28
atherosclerotic plaques,28
plane,28
Effluent Flow Channel,28
fjord [ENVO:00000039],28
63-5µm particles,28
cave floor ENVO:01000019,28
>63µm particles,28
faeces biome,28
Freshwater Creek,28
16S_rDNA,28
atmospheric boundary layer [ENVO:01000323],28
PE particle biofilm,28
not applicable|||MCE,28
ENVO:01001244,28
[ENVO:00002034],28
biological soil crusts,28
Molar flap,28
cell sorter,28
cervicovaginal lavage,28
marble,28
"permafrost, ENVO:00000134",28
FCA,28
montane habitat,28
Australia,28
algae culture,28
marine bathyal zone,28
Bumble bee gut,28
ENVO:00002063,28
Conventional environment,28
Fresh stool,28
acidic environment [ENVO: 01000315],28
desert grassland biome,28
AWTP_2,28
Pacifier,28
fresh faeces,28
flow-through marine aquaculture,28
8°,28
ENVO:01000435,28
"Intermediate/brackish marsh, native area [Spartina patens and Schoenoplectus americanus]",28
"Intermediate/brackish marsh, Phragmites stand",28
"Intermediate/brackish marsh, transition zone (50:50 Phragmites:native plants [Spartina patens and Schoenoplectus americanus])",28
Pacific Ocean PE particle,28
ENVO:01000418 00000428,28
ENVO_01000407,28
fecal swabs,28
No compost,28
Human virome,28
environment determined by a biofilm on an animal surface [ENVO:01001034] | mouth [UBERON:0000165],28
ENVO:01000326,28
CK,28
fish fin clip,28
15°,28
Deep subsurface groundwater,28
caecum mucosa [UBERON_0000314],28
caecum [UBERON_0001153],28
Human skin microbiome in pilosebaceous unit,28
[ENVO:00000015],28
ENVO_01000254,28
NADR,28
laboratory selection experiment,28
ENVO_00000021,28
deep-sea hydrothermal vent,28
adult worker,28
Human nose follicule content,28
Anaerobic Reactor,28
intestinal chyme,28
human_microbiome,28
metagenome of marine sponges,28
intestinal contents of pig,28
bal,28
intestinal fluid,28
jejunal mucosa [UBERON_0000399],28
ENVO:01000089,28
ENVO:00000230,28
Ba-R,28
laboratory bioreactors,28
Normal-FA,28
Human Gut ACF,28
Barley,28
jejunum [UBERON_0002115],28
a depth of 0m,28
horse,28
ENVO:00000317,28
carbon cloth,28
Field Blank,28
abscess,28
aluminum and stainless steel,28
Daqu biome,28
Gut microbiotal,28
North Yellow Sea,28
ENVO:00003009,28
Anaerobic Digestion,28
Batter microbiome,28
anchialine cave,28
nosZ gene from roots,28
nosZ gene from soil,28
Nursery,28
Foam,28
Anaerobic thermophilic biogas reactor,28
Highland,28
Homo sapiens colon,28
crude oil contaminated soil,28
High glycemic diet,28
COL,28
Phytoplankton in lab culture,28
arid desert,28
bottled beer food product,28
Not obtained,28
Gastric,28
Epithelial,28
industrially processed,28
mixed_culture,28
T 0 (Time 0),28
supragingival,28
ung_annual_1D_2,28
PVC,28
raw primary sludge [ENVO:00002057],28
PT_North_E,28
ung_inf_20C_1,28
Stone Terrace,28
wine_must,28
stomach mucosa [EMAPA_35817],28
stool_derived_culture,28
YPG,28
urban residual water,28
potato stem,28
small intestinal microflora,28
population of organisms,28
Soil Terrace,28
UBERON:0000912,28
water samples,28
Tissues,28
UBERON:0002114,28
well,28
UBERON:0002116,28
swab - inanimate object surface,28
urban biome|||mouse-gut,28
reproductive organ [UBERON:0003133],28
reproductive system mucosa [UBERON:0019042],28
reproductive system [UBERON:0000990],28
Solanum tuberosum,28
Snakes,28
Rcirculating aquaculture system,28
stomach [UBERON_0000945],28
Wastewater Treatment,28
Rabbit Fecal Sample,28
Rabbit Fecal Pellet,28
SWDS,28
Restored prairie,28
Three gorges Dam,28
Sternum,28
Poplar wood,28
sediment�permeated�by�freshwater,28
terrestrial aquifer,28
salt flats sediment,28
Stream biome,28
showerhead biofilm,28
root matter [ENVO:010000349],28
WGS,28
surface of tongue [UBERON:0007367],28
(SRF) surface water layer (ENVO:00002042),28
tongue coating,28
tongue [UBERON:0001723],28
tap water [ENVO_00003096]|drinking water [ENVO_00003064],28
salty sediments,28
Protist community,28
protected,28
Synthetic low strength wastewater,28
rice wine,28
Streamwater eDNA,28
Tank2,28
subtropical river,28
Vaginal biom,28
pot experiment,28
wheat soil,28
vagina-anus,28
summer camp,28
Root system (whole),28
polymer - HDPE,28
saxicolous lichen,28
spring downstream,28
under tubercle,28
Spruce forest,28
PT_North_LI,28
Zea mays,28
wheat leaf,28
western north america,28
tropical bay,27
Solanum lycopersicum stem,27
Recrational Beach,27
potted Musa ‘Truly Tiny’,27
Wellhead of injection well,27
Southeastern mixed forests,27
rescued,27
surface water (ENVO:00002042) layer,27
soil replicate 4,27
skin surface scrape,27
Seawater filter retentate,27
Wood,27
sterile cotton swab,27
Thalweg sample,27
PR,27
tissues,27
soil and air,27
temperate mountain [ENVO:01001455],27
Premontane Tropical Forest,27
seminatural grassland,27
Sequencing batch airlift reactor for partial nitrification,27
rhizosphere| Date palm,27
RAS_water,27
tailing soil,27
Zombitse,27
SC+C,27
St_PI,27
rainbow trout intesintal tract,27
Sika deer,27
prokaryotic,27
Temperate Woodland Biome [ENVO:01000221],27
"Secondary root, 10-15 cm depth",27
Respiratory airways,27
synthetic minimal medium,27
pot_experiment,27
Rhizosphere environment [ENVO:01000999]; Plant-associated Environment [ENVO:01001001],27
Tank Water Microbiome,27
Streamwater,27
Rabbit Cecal Content,27
Sub-Boreal Spruce Biogeoclimatic Zone,27
polystyrene biofilm,27
rhizosphere [ENVO:00005801] | bulk sediment,27
Rabbit Cecal Sample,27
Waste Water,27
Synthetic high strength wastewater,27
sparse woods biome,27
sewage [ENVO:00002018]|wastewater treatment plant [ENVO:00002043],27
Stream insects,27
samples from Populus grandidentata individuals at various stages of decay,27
The fungal community of Lycium replicate,27
root tip of an adult plant,27
"Tundra biome [ENVO_01000180], Area of barren land [ENVO:01000752]",27
Tropical subhumid region from the Brazilian Caatinga,27
rock surface,27
TCE-Cr-As-Sulfate,27
soil2,27
river (baiting),27
ST1,27
Severe drought,27
water treatment plant,27
polyethylene biofilm,27
The fungal community of Lycium,27
zonal SxwHuckleberry vegetation,27
saline-alkaline lake,27
Prawns,27
shrimp pond sediment,27
submerged palnts surface,27
Uninvolved mucosa,27
Procapra picticaudata,27
Continental hydrothermal ecosystem,27
Mild drought,27
estuary in Atlantic,27
FMT microbiome,27
Mosquito rearing pan,27
Native Soil,27
alveolar lavage fluid,27
China: Xiamen,27
Animal host,27
CENAIM-ESPOL,27
Mock community Undiltute,27
burned soil,27
aquatic intertidal zone,27
Ba,27
humic_acid,27
Domestic Wastewater,27
Granular Biomass,27
contaminated soil [ENVO:00002116]|salt contaminated soil [ENVO:00005775]|desert area [ENVO:00000097],27
dentine,27
ENVO:02000009,27
Anaerobic tank,27
EBPR Sludge,27
aeration tanks,27
extraction_kit_solutions,27
BTO:0001301,27
EBPR Bioreactor,27
nasal secretions,27
oak leaves,27
oligotrophic fen,27
beech rhizosphere,27
Mock community 1:10 Dilution,27
bees,27
Inoculum: Agricultural_field,27
Mock community 1:100 Dilution,27
Mock community 1:1000 Dilution,27
Biliary sludge,27
branch [PO:0025073],27
aquifer_water,27
25℃,27
luvisol [ENVO:00002248]|bulk soil[ENVO:00005802],27
Myakka soil,27
metal & radionuclide contaminated soil,27
Fluid,27
marine benthic biome [ENVO:01000024]|marine abyssal zone biome [ENVO:01000027],27
Oceanic Mesopelagic Zone,27
bronchoalveolar lavage (BAL),27
coniferous forest biome[ENVO:01000196]|forest soil [ENVO:00002261],27
inland lake,27
groundwater | freshwater | wood biofillm,27
photic zone [ENVO:00000209],27
experimental seawater tank,27
Apis mellifera,27
neritic epipelagic zone biome�,27
Parkland,27
Arsenic and antimony co-contaminated,27
http://purl.obolibrary.org/obo/ENVO_02000031,27
G.morhua,27
Broad-leaved evergreen forests,27
Cervix,27
paddy soil biome,27
control mucosal tissue,27
Acidic and lower metal content soils,27
colloform,27
Partial nitrification aerobic granules,27
Freshwater Biome,27
grz_inf_N20B_1,27
marine waters,27
Date palm biome,27
maple leaves,27
desalting meadow and sandy soil,27
Creek bank,27
Coral mucus/tissue/skeleton,27
Jejunal mucosa,27
area of evergreen forest [ENVO_01000843],27
After surgery,27
compost amended with dead bacterial biomass,27
ENVO:01000286,27
Coral microbiome,27
groundwater | freshwater | rock biofillm,27
